connection_id,target
cxcon_2,1
cxcon_5,0
cxcon_8,0
cxcon_11,0
cxcon_14,0
cxcon_17,0
cxcon_20,0
cxcon_23,1
cxcon_26,0
cxcon_29,0
cxcon_32,0
cxcon_35,1
cxcon_38,0
cxcon_41,0
cxcon_44,1
cxcon_47,0
cxcon_50,0
cxcon_53,0
cxcon_56,0
cxcon_59,1
cxcon_62,0
cxcon_65,0
cxcon_68,0
cxcon_71,0
cxcon_74,1
cxcon_77,0
cxcon_80,0
cxcon_83,0
cxcon_86,0
cxcon_89,1
cxcon_92,1
cxcon_95,2
cxcon_98,1
cxcon_101,1
cxcon_104,0
cxcon_107,0
cxcon_110,0
cxcon_113,0
cxcon_116,0
cxcon_119,0
cxcon_122,0
cxcon_125,0
cxcon_128,0
cxcon_131,0
cxcon_134,0
cxcon_137,0
cxcon_140,0
cxcon_143,1
cxcon_146,0
cxcon_149,0
cxcon_152,0
cxcon_155,0
cxcon_158,0
cxcon_161,0
cxcon_164,0
cxcon_167,0
cxcon_170,0
cxcon_173,0
cxcon_176,0
cxcon_179,0
cxcon_182,0
cxcon_185,0
cxcon_188,0
cxcon_191,1
cxcon_194,0
cxcon_197,0
cxcon_200,1
cxcon_203,0
cxcon_206,0
cxcon_209,0
cxcon_212,0
cxcon_215,1
cxcon_218,0
cxcon_221,1
cxcon_224,1
cxcon_227,1
cxcon_230,0
cxcon_233,0
cxcon_236,0
cxcon_239,0
cxcon_242,0
cxcon_245,0
cxcon_248,0
cxcon_251,0
cxcon_254,0
cxcon_257,0
cxcon_260,0
cxcon_263,0
cxcon_266,0
cxcon_269,1
cxcon_272,0
cxcon_275,1
cxcon_278,0
cxcon_281,1
cxcon_284,1
cxcon_287,0
cxcon_290,0
cxcon_293,0
cxcon_296,1
cxcon_299,1
cxcon_302,0
cxcon_305,0
cxcon_308,1
cxcon_311,1
cxcon_314,0
cxcon_317,0
cxcon_320,0
cxcon_323,0
cxcon_326,0
cxcon_329,0
cxcon_332,0
cxcon_335,1
cxcon_338,0
cxcon_341,1
cxcon_344,0
cxcon_347,0
cxcon_350,0
cxcon_353,0
cxcon_356,0
cxcon_359,0
cxcon_362,0
cxcon_365,1
cxcon_368,0
cxcon_371,0
cxcon_374,0
cxcon_377,0
cxcon_380,1
cxcon_383,0
cxcon_386,0
cxcon_389,1
cxcon_392,0
cxcon_395,0
cxcon_398,1
cxcon_401,0
cxcon_404,0
cxcon_407,0
cxcon_410,0
cxcon_413,0
cxcon_416,1
cxcon_419,0
cxcon_422,0
cxcon_425,0
cxcon_428,0
cxcon_431,0
cxcon_434,0
cxcon_437,1
cxcon_440,0
cxcon_443,1
cxcon_446,0
cxcon_449,0
cxcon_452,0
cxcon_455,0
